,_code,pre_score,post_score,score_diff,_student,maxlevel,_object_id,nbhelp,nbteachercall
247,169,67,56,-11,SDwF1Aw,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,1,
248,169,67,56,-11,SDwF1Aw,5,https://py-rates.org/xAPI/activities/helps/implementation,1,
249,169,67,56,-11,SDwF1Aw,5,https://py-rates.org/xAPI/activities/helps/notion,3,
250,169,67,56,-11,SDwF1Aw,5,https://py-rates.org/xAPI/activities/helps/solution,8,
251,170,11,22,11,C55fzmh,3,https://py-rates.org/xAPI/activities/helps/ask-teacher,2,
252,170,11,22,11,C55fzmh,3,https://py-rates.org/xAPI/activities/helps/implementation,3,
253,170,11,22,11,C55fzmh,3,https://py-rates.org/xAPI/activities/helps/solution,3,
254,171,22,33,11,Byp8iuP,4,https://py-rates.org/xAPI/activities/helps/ask-teacher,9,
255,171,22,33,11,Byp8iuP,4,https://py-rates.org/xAPI/activities/helps/notion,1,
256,173,33,22,-11,jwp1hNb,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,1,
257,173,33,22,-11,jwp1hNb,5,https://py-rates.org/xAPI/activities/helps/implementation,1,
258,173,33,22,-11,jwp1hNb,5,https://py-rates.org/xAPI/activities/helps/notion,1,
259,173,33,22,-11,jwp1hNb,5,https://py-rates.org/xAPI/activities/helps/solution,1,
260,174,33,22,-11,axU2TZF,4,https://py-rates.org/xAPI/activities/helps/ask-teacher,1,
261,174,33,22,-11,axU2TZF,4,https://py-rates.org/xAPI/activities/helps/implementation,10,
262,174,33,22,-11,axU2TZF,4,https://py-rates.org/xAPI/activities/helps/notion,1,
263,175,67,78,11,rCVdY2u,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,3,
264,175,67,78,11,rCVdY2u,8,https://py-rates.org/xAPI/activities/helps/control,5,
265,175,67,78,11,rCVdY2u,8,https://py-rates.org/xAPI/activities/helps/implementation,12,
266,175,67,78,11,rCVdY2u,8,https://py-rates.org/xAPI/activities/helps/notion,9,
267,175,67,78,11,rCVdY2u,8,https://py-rates.org/xAPI/activities/helps/solution,2,
268,176,67,56,-11,rXN4Bms,4,https://py-rates.org/xAPI/activities/helps/ask-teacher,10,
269,176,67,56,-11,rXN4Bms,4,https://py-rates.org/xAPI/activities/helps/control,2,
270,176,67,56,-11,rXN4Bms,4,https://py-rates.org/xAPI/activities/helps/implementation,7,
271,176,67,56,-11,rXN4Bms,4,https://py-rates.org/xAPI/activities/helps/notion,3,
272,176,67,56,-11,rXN4Bms,4,https://py-rates.org/xAPI/activities/helps/solution,9,
273,177,56,56,0,kZgCFW8,6,https://py-rates.org/xAPI/activities/helps/ask-teacher,11,
274,177,56,56,0,kZgCFW8,6,https://py-rates.org/xAPI/activities/helps/control,3,
275,177,56,56,0,kZgCFW8,6,https://py-rates.org/xAPI/activities/helps/implementation,4,
276,177,56,56,0,kZgCFW8,6,https://py-rates.org/xAPI/activities/helps/notion,7,
277,177,56,56,0,kZgCFW8,6,https://py-rates.org/xAPI/activities/helps/solution,2,
278,178,78,67,-11,PAj6rXU,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,5,
279,178,78,67,-11,PAj6rXU,8,https://py-rates.org/xAPI/activities/helps/control,3,
280,178,78,67,-11,PAj6rXU,8,https://py-rates.org/xAPI/activities/helps/implementation,4,
281,178,78,67,-11,PAj6rXU,8,https://py-rates.org/xAPI/activities/helps/notion,6,
282,178,78,67,-11,PAj6rXU,8,https://py-rates.org/xAPI/activities/helps/solution,1,
283,179,22,33,11,z4BZLnD,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,3,
284,179,22,33,11,z4BZLnD,5,https://py-rates.org/xAPI/activities/helps/control,4,
285,179,22,33,11,z4BZLnD,5,https://py-rates.org/xAPI/activities/helps/implementation,8,
286,179,22,33,11,z4BZLnD,5,https://py-rates.org/xAPI/activities/helps/notion,7,
287,179,22,33,11,z4BZLnD,5,https://py-rates.org/xAPI/activities/helps/solution,18,
